G,Date,Day,School,Unnamed: 4,Opponent,Conf,Unnamed: 7,Pts,Opp,W,L,Streak,Notes,Time,Unnamed: 5,Unnamed: 8
1,Aug 28 1999,Sat,(1) Florida State,,Louisiana Tech,Ind,W,41,7,1,0,W 1,,,,
2,Sep 11 1999,Sat,(1) Florida State,,(10) Georgia Tech,ACC,W,41,35,2,0,W 2,,,,
3,Sep 18 1999,Sat,(1) Florida State,,(20) North Carolina State,ACC,W,42,11,3,0,W 3,,,,
4,Sep 25 1999,Sat,(1) Florida State,@,North Carolina,ACC,W,42,10,4,0,W 4,,,,
5,Oct 2 1999,Sat,(1) Florida State,,Duke,ACC,W,51,23,5,0,W 5,Jacksonville FL,,,
6,Oct 9 1999,Sat,(1) Florida State,,(19) Miami (FL),Big East,W,31,21,6,0,W 6,,,,
7,Oct 16 1999,Sat,(1) Florida State,,Wake Forest,ACC,W,33,10,7,0,W 7,,,,
8,Oct 23 1999,Sat,(1) Florida State,@,Clemson,ACC,W,17,14,8,0,W 8,,,,
9,Oct 30 1999,Sat,(1) Florida State,@,Virginia,ACC,W,35,10,9,0,W 9,,,,
10,Nov 13 1999,Sat,(1) Florida State,,Maryland,ACC,W,49,10,10,0,W 10,,,,
11,Nov 20 1999,Sat,(1) Florida State,@,(3) Florida,SEC,W,30,23,11,0,W 11,,,,
12,Jan 4 2000,Tue,(1) Florida State,N,(2) Virginia Tech,Big East,W,46,29,12,0,W 12,Sugar Bowl (Sugar Bowl (New Orleans LA)),,,
1,Sep 2 2013,Mon,(10) Florida State,,Pitt,ACC,,41,13,1,0,W 1,,8:00 PM,@,W
2,Sep 14 2013,Sat,(10) Florida State,,Nevada,MWC,,62,7,2,0,W 2,,3:30 PM,,W
3,Sep 21 2013,Sat,(8) Florida State,,Bethune-Cookman,Non-Major,,54,6,3,0,W 3,,6:00 PM,,W
4,Sep 28 2013,Sat,(8) Florida State,,Boston College,ACC,,48,34,4,0,W 4,,3:30 PM,@,W
5,Oct 5 2013,Sat,(8) Florida State,,(25) Maryland,ACC,,63,0,5,0,W 5,,12:00 PM,,W
6,Oct 19 2013,Sat,(5) Florida State,,(3) Clemson,ACC,,51,14,6,0,W 6,,8:00 PM,@,W
7,Oct 26 2013,Sat,(3) Florida State,,North Carolina State,ACC,,49,17,7,0,W 7,,3:30 PM,,W
8,Nov 2 2013,Sat,(3) Florida State,,(7) Miami (FL),ACC,,41,14,8,0,W 8,,8:00 PM,,W
9,Nov 9 2013,Sat,(3) Florida State,,Wake Forest,ACC,,59,3,9,0,W 9,,12:00 PM,@,W
10,Nov 16 2013,Sat,(2) Florida State,,Syracuse,ACC,,59,3,10,0,W 10,,3:30 PM,,W
11,Nov 23 2013,Sat,(2) Florida State,,Idaho,Ind,,80,14,11,0,W 11,,3:30 PM,,W
12,Nov 30 2013,Sat,(2) Florida State,,Florida,SEC,,37,7,12,0,W 12,,12:00 PM,@,W
13,Dec 7 2013,Sat,(1) Florida State,,(20) Duke,ACC,,45,7,13,0,W 13,ACC Championship Game,8:00 PM,N,W
14,Jan 6 2014,Mon,(1) Florida State,,(2) Auburn,SEC,,34,31,14,0,W 14,BCS Championship (Pasadena CA),8:30 PM,N,W
